model_id,make,model,min_price,max_price,hold_amount,currency,warranty,warranty_duration,item_name
90,BMW,7-Series,,,,AED,12,months,Standard
91,BMW,8-Series,,,,AED,12,months,Standard
92,BMW,i8,,,,AED,12,months,Standard
93,BMW,M2,635,635,604.7619048,AED,12,months,Standard
94,BMW,M3,700,700,666.6666667,AED,12,months,Standard
95,BMW,M3 Convertible,700,700,666.6666667,AED,12,months,Standard
96,BMW,M3 Coupe,700,700,666.6666667,AED,12,months,Standard
97,BMW,M4,775,775,738.0952381,AED,12,months,Standard
98,BMW,M4 Convertible,775,775,738.0952381,AED,12,months,Standard
99,BMW,M5,775,775,738.0952381,AED,12,months,Standard
100,BMW,M6 Cabriolet,775,775,738.0952381,AED,12,months,Standard
101,BMW,M6 Coupe,775,775,738.0952381,AED,12,months,Standard
102,BMW,M6 Gran Coupe,775,775,738.0952381,AED,12,months,Standard
103,BMW,X1,635,635,604.7619048,AED,12,months,Standard
104,BMW,X3,700,700,666.6666667,AED,12,months,Standard
105,BMW,X4,700,700,666.6666667,AED,12,months,Standard
106,BMW,X5,775,775,738.0952381,AED,12,months,Standard
107,BMW,X5 M,775,775,738.0952381,AED,12,months,Standard
108,BMW,X6,890,890,847.6190476,AED,12,months,Standard
109,BMW,X6 M,890,890,847.6190476,AED,12,months,Standard
110,BMW,Z4,635,635,604.7619048,AED,12,months,Standard
111,Borgward,BX5,,,,AED,12,months,Standard
112,Borgward,BX7,,,,AED,12,months,Standard
113,Brilliance,FRV,,,,AED,12,months,Standard
114,Brilliance,FRV Cross,,,,AED,12,months,Standard
115,Brilliance,FSV,,,,AED,12,months,Standard
116,Brilliance,H530,,,,AED,12,months,Standard
117,Brilliance,V5,,,,AED,12,months,Standard
118,Bugatti,Chiron,,,,AED,12,months,Standard
119,Bugatti,Veyron,,,,AED,12,months,Standard
120,BYD,F3,525,525,500,AED,12,months,Standard
121,BYD,F6,525,525,500,AED,12,months,Standard
122,BYD,S6,525,525,500,AED,12,months,Standard
123,Cadillac,ATS,635,635,604.7619048,AED,12,months,Standard
124,Cadillac,ATS Coupe,635,635,604.7619048,AED,12,months,Standard
125,Cadillac,ATS-V,,,,AED,12,months,Standard
126,Cadillac,ATS-V Coupe,,,,AED,12,months,Standard
127,Cadillac,BLS,,,,AED,12,months,Standard
128,Cadillac,CT6,635,635,604.7619048,AED,12,months,Standard
129,Cadillac,CTS,635,635,604.7619048,AED,12,months,Standard
130,Cadillac,CTS Coupe,635,635,604.7619048,AED,12,months,Standard
131,Cadillac,CTS-V,,,,AED,12,months,Standard
132,Cadillac,CTS-V Coupe,,,,AED,12,months,Standard
133,Cadillac,DTS,635,635,604.7619048,AED,12,months,Standard
134,Cadillac,Escalade,700,700,666.6666667,AED,12,months,Standard
135,Cadillac,SLS,,,,AED,12,months,Standard
136,Cadillac,SRX,700,700,666.6666667,AED,12,months,Standard
137,Cadillac,STS,635,635,604.7619048,AED,12,months,Standard
138,Cadillac,XLR,700,700,666.6666667,AED,12,months,Standard
139,Cadillac,XT5,700,700,666.6666667,AED,12,months,Standard
140,Cadillac,XTS,700,700,666.6666667,AED,12,months,Standard
141,Caterham,Seven,,,,AED,12,months,Standard
142,Changan,CS35,525,525,500,AED,12,months,Standard
143,Changan,CS75,525,525,500,AED,12,months,Standard
144,Changan,Eado,635,635,604.7619048,AED,12,months,Standard
145,Chery,A11 Windcloud,,,,AED,12,months,Standard
146,Chery,Arrizo 3,525,525,500,AED,12,months,Standard
147,Chery,Arrizo 5,525,525,500,AED,12,months,Standard
148,Chery,Arrizo 7,635,635,604.7619048,AED,12,months,Standard
149,Chery,B11 Oriental Son,,,,AED,12,months,Standard
150,Chery,E5,,,,AED,12,months,Standard
151,Chery,E8,,,,AED,12,months,Standard
152,Chery,S11 QQ,,,,AED,12,months,Standard
153,Chery,T11 Tiggo,635,635,604.7619048,AED,12,months,Standard
154,Chery,Tiggo 3,525,525,500,AED,12,months,Standard
155,Chery,Tiggo 5,525,525,500,AED,12,months,Standard
156,Chery,Tiggo 7,635,635,604.7619048,AED,12,months,Standard
157,Chery,V5 Crossover,635,635,604.7619048,AED,12,months,Standard
158,Chevrolet,Avalanche,700,700,666.6666667,AED,12,months,Standard
159,Chevrolet,Aveo,450,450,428.5714286,AED,12,months,Standard
160,Chevrolet,Aveo Hatchback,450,450,428.5714286,AED,12,months,Standard
161,Chevrolet,Aveo5,450,450,428.5714286,AED,12,months,Standard
162,Chevrolet,Bolt,,,,AED,12,months,Standard
163,Chevrolet,Camaro,700,700,666.6666667,AED,12,months,Standard
164,Chevrolet,Camaro Convertible,700,700,666.6666667,AED,12,months,Standard
165,Chevrolet,Caprice,635,635,604.7619048,AED,12,months,Standard
166,Chevrolet,Captiva,,,,AED,12,months,Standard
167,Chevrolet,Colorado,,,,AED,12,months,Standard
168,Chevrolet,Corvette,635,635,604.7619048,AED,12,months,Standard
169,Chevrolet,Cruze,635,635,604.7619048,AED,12,months,Standard
170,Chevrolet,Cruze Hatchback,635,635,604.7619048,AED,12,months,Standard
171,Chevrolet,CSV CR8,,,,AED,12,months,Standard
172,Chevrolet,Epica,450,450,428.5714286,AED,12,months,Standard
173,Chevrolet,Equinox,635,635,604.7619048,AED,12,months,Standard
174,Chevrolet,Impala,635,635,604.7619048,AED,12,months,Standard
175,Chevrolet,Lumina,635,635,604.7619048,AED,12,months,Standard
176,Chevrolet,Malibu,635,635,604.7619048,AED,12,months,Standard
177,Chevrolet,Optra,450,450,428.5714286,AED,12,months,Standard
178,Chevrolet,Silverado,700,700,666.6666667,AED,12,months,Standard
179,Chevrolet,Sonic,450,450,428.5714286,AED,12,months,Standard
180,Chevrolet,Sonic Hatchback,450,450,428.5714286,AED,12,months,Standard
181,Chevrolet,Spark,420,420,400,AED,12,months,Standard
182,Chevrolet,Suburban,700,700,666.6666667,AED,12,months,Standard
183,Chevrolet,T-Series,,,,AED,12,months,Standard
